org_id,mo_id,mo_name,is_work
99067,72,Пулковский меридиан,1
99072,51,Княжево,1
99073,69,Московская Застава,1
99078,11,Южно-Приморский,1
99080,56,Красненькая речка,1
99085,13,Урицк,1
99089,72,Пулковский меридиан,1
99093,13,Урицк,1
99105,52,Ульянка,1
99116,52,Ульянка,1
99204,70,Гагаринское,1
99206,84,Измайловское,1
100098,77,Аптекарский Остров,1
100211,77,Аптекарский Остров,1
100822,69,Московская Застава,1
101035,18,Малая Охта,1
101048,19,Пороховые,1
101155,49,Оккервиль,1
101189,49,Оккервиль,1
101195,48,Невский округ,1
101475,59,N 78,1
101509,77,Аптекарский Остров,1
120419,71,Новоизмайловское,1
120490,72,Пулковский меридиан,1
125561,23,Купчино,1
125674,24,Георгиевский,1
125880,24,Георгиевский,1
126207,43,Ивановский,1
149250,33,Сергиевское,1
149304,34,Шувалово-Озерки,1
149319,34,Шувалово-Озерки,1
149325,31,Сосновское,1
149330,34,Шувалово-Озерки,1
149334,34,Шувалово-Озерки,1
149354,41,Прометей,1
149384,34,Шувалово-Озерки,1
149423,32,N 15,1
149431,38,N 21,1
149432,38,N 21,1
149476,28,Парголово,1
149480,34,Шувалово-Озерки,1
149509,31,Сосновское,1
149533,28,Парголово,1
149536,28,Парголово,1
149541,38,N 21,1
149619,35,Гражданка,1
149624,36,Академическое,1
149628,38,N 21,1
149630,34,Шувалово-Озерки,1
149634,31,Сосновское,1
149638,31,Сосновское,1
149664,40,Северный,1
149668,36,Академическое,1
149678,38,N 21,1
149738,36,Академическое,1
160710,18,Малая Охта,1
160847,68,Остров Декабристов,1
161215,18,Малая Охта,1
161325,29,Сампсониевское,1
161428,56,Красненькая речка,1
162349,78,Петровский,1
162504,61,Смольнинское,1
171193,72,Пулковский меридиан,1
171283,73,Звездное,1
175256,45,Рыбацкое,1
175461,45,Рыбацкое,1
175671,111,Шушары,1
175985,111,Шушары,1
176113,85,Екатерингофский,1
176190,49,Оккервиль,1
176328,19,Пороховые,1
176339,19,Пороховые,1
176347,85,Екатерингофский,1
176363,19,Пороховые,1
176365,19,Пороховые,1
