district_id,age,both,male,female
9, 20–24,9288,4807,4481
9, 25–29,9485,4566,4919
9, 30–34,13509,6687,6822
9, 35–39,18415,9003,9412
9, 40–44,16617,7896,8721
9, 45–49,14725,6751,7974
9, 50–54,15040,6752,8288
9, 55–59,14439,6354,8085
9, 60–64,15584,6391,9193
9, 65–69,13728,5225,8503
9, 70 и старше,25307,8041,17266
