org_id,district_id,mo_id,district_name,mo_name,is_work
98308,10,64,Василеостровский,N 7,2
98310,10,64,Василеостровский,N 7,2
98400,10,66,Василеостровский,Гавань,2
98405,10,68,Василеостровский,Остров Декабристов,2
98418,10,64,Василеостровский,N 7,2
98471,1,6,Приморский,Озеро Долгое,2
98586,1,6,Приморский,Озеро Долгое,2
98589,13,81,Адмиралтейский,Сенной округ,2
98643,9,61,Центральный,Смольнинское,2
98658,9,62,Центральный,Лиговка-Ямская,2
98672,1,3,Приморский,N 65,2
98677,1,3,Приморский,N 65,2
98684,1,6,Приморский,Озеро Долгое,2
98717,4,24,Фрунзенский,Георгиевский,2
98765,1,3,Приморский,N 65,2
98770,1,3,Приморский,N 65,2
98923,4,21,Фрунзенский,Волковское,2
98927,8,54,Кировский,Автово,2
98940,8,54,Кировский,Автово,2
98998,8,51,Кировский,Княжево,2
99005,8,54,Кировский,Автово,2
99011,8,53,Кировский,Дачное,2
99061,11,69,Московский,Московская Застава,2
99082,11,72,Московский,Пулковский меридиан,2
99118,13,81,Адмиралтейский,Сенной округ,2
99200,13,84,Адмиралтейский,Измайловское,2
100207,12,75,Петроградский,Кронверкское,2
100831,11,69,Московский,Московская Застава,2
101158,7,49,Невский,Оккервиль,2
101199,7,48,Невский,Невский округ,2
101207,7,49,Невский,Оккервиль,2
124764,13,83,Адмиралтейский,Семеновский,2
125678,4,24,Фрунзенский,Георгиевский,2
125780,4,24,Фрунзенский,Георгиевский,2
125782,4,23,Фрунзенский,Купчино,2
125839,4,24,Фрунзенский,Георгиевский,2
125885,4,23,Фрунзенский,Купчино,2
125952,4,23,Фрунзенский,Купчино,2
149218,5,33,Выборгский,Сергиевское,2
149255,5,34,Выборгский,Шувалово-Озерки,2
149259,5,33,Выборгский,Сергиевское,2
149350,6,41,Калининский,Прометей,2
149388,5,33,Выборгский,Сергиевское,2
149390,5,32,Выборгский,N 15,2
149399,5,33,Выборгский,Сергиевское,2
149415,5,30,Выборгский,Светлановское,2
149483,5,32,Выборгский,N 15,2
149538,5,28,Выборгский,Парголово,2
160686,9,61,Центральный,Смольнинское,2
160697,9,61,Центральный,Смольнинское,2
160819,10,67,Василеостровский,Морской,2
160834,10,68,Василеостровский,Остров Декабристов,2
161220,9,63,Центральный,Владимирский округ,2
161273,12,79,Петроградский,Чкаловское,2
161447,5,30,Выборгский,Светлановское,2
163174,4,26,Фрунзенский,Балканский,2
163912,1,3,Приморский,N 65,2
167399,1,7,Приморский,Юнтолово,2
176007,3,19,Красногвардейский,Пороховые,2
176129,13,85,Адмиралтейский,Екатерингофский,2
176146,10,64,Василеостровский,N 7,2
176203,7,49,Невский,Оккервиль,2
176317,1,5,Приморский,Комендантский Аэродром,2
176367,3,19,Красногвардейский,Пороховые,2
176408,4,21,Фрунзенский,Волковское,2
176465,7,43,Невский,Ивановский,2
176475,10,68,Василеостровский,Остров Декабристов,2
176488,8,54,Кировский,Автово,2
176492,10,66,Василеостровский,Гавань,2
176518,4,21,Фрунзенский,Волковское,2
176530,2,13,Красносельский,Урицк,2
176562,2,14,Красносельский,Константиновское,2
176937,11,69,Московский,Московская Застава,2
